	text	predictions_nb	ytest	predictions_author	true_author
1011	"""Orders are exceeding our targets and are doing very well,"" he said. ""We just don't agree with their numbers.""Although Airbus has increased its share over the years, this had not been at Boeing's expense but came out of McDonnell Douglas's sales. ""It's not coming out of Boeing's hide.""Production figures gave a clearer view of the company's advance, he said. Boeing had recently increased production of its 777 giant twinjet to seven per month from five and would be turning out the 737 narrow-body at a rate of 17.5 planes per month late next year. He gave no figure for present output"	31	38	\MartinWolk	\PierreTran
1012	But analysts said the two-part sale made good sense	5	38	\BradDorfman	\PierreTran
1013	A number of possibilities have emerged for Thomson-CSF since the Privatisation Commission derailed the sale process	29	38	\MarcelMichelson	\PierreTran
1014	Although both Bouygues and Generale des Eaux currently run mobile telephone businesses, their ambitions run higher. They want a major slice of the profitable long-distance call market and the high-value business networks	29	38	\MarcelMichelson	\PierreTran
1015	"The report said it was only after the government declared its preference last Wednesday for Lagardere's bid over a rival offer from Alcatel Alsthom that authorities realised ""the value of the gift it (the state) was making to Daewoo.""A Thomson-CSF spokesman declined to comment on the report of a ""white knight"" bidder"	29	38	\MarcelMichelson	\PierreTran
1016	Messier also announced Generale des Eaux had made a formal bid on Monday with its German partner Mannesmann AG to run the telecommunications operations of French state railways SNCF. The two companies want to bring British Telecom to join the bid	29	38	\MarcelMichelson	\PierreTran
1017	Construction group Bouygues has emerged as the latest contender in the French telecommunications arena with its joint bid with Italy's STET to run the telephone network of rail operator SNCFBouygues follows the larger Cie Generale des Eaux, which last month announced blue chip partners for its Cegetel telecoms unit, and the state-owned RATP Paris Metro operator which set up a unit to exploit its 300 kilometres of track	29	38	\MarcelMichelson	\PierreTran
1018	The decision, announced by the finance ministry, makes the sale process slower than if it had been carried out under another 1991 privatisation decree	29	38	\MarcelMichelson	\PierreTran
1019	Any decision will go to Prime Minister Alain Juppe for ratification, the transport ministry spokeswoman said	29	38	\MarcelMichelson	\PierreTran
1020	The chairman of the South Korean company, Bae Soon-Hoon, has said he is ready to invest $1.5 billion in France and create 5,000 new jobs if he wins Multimedia	29	38	\MarcelMichelson	\PierreTran
1021	But the complex sale details mean any decision will only be made in the beginning of 1997, government officials said	29	38	\MarcelMichelson	\PierreTran
1022	It made a 1995 net attributable loss of 981 million, due to a 1.5 billion restructuring charge to cover 3,000 job losses. ($1=5.224 French Franc)	29	38	\MarcelMichelson	\PierreTran
1023	Jospin said French President Jacques Chirac and Prime Minister Alain Juppe were allowing the sale of Thomson Multimedia to Daewoo, which would reap the benefits of French state financing for the group's digital technology	29	38	\MarcelMichelson	\PierreTran
1024	The court said that as Thomson-CSF constitutes an essential part of the assets of Thomson SA, the sale should be seen as a means of privatising the parent company, the finance ministry said in a statement	29	38	\MarcelMichelson	\PierreTran
1025	Following that setback, the state decided to privatise Thomson SA in two parts, with a sale of Thomson-CSF first, followed by Thomson Multimedia, the loss-making consumer electronics unit, to speed up the process	29	38	\MarcelMichelson	\PierreTran
1026	Messier also announced Generale des Eaux said it had made a formal bid on Monday with its German partner Mannesmann to run the telecommunications operations of French state railways SNCF. The two companies want to bring British Telecom to join the bid	29	38	\MarcelMichelson	\PierreTran
1027	A break-up of Thomson runs directly against President Jacques Chirac's initial policy announced on February 22 on restructuring the French defence industry and selling Thomson as one unit	29	38	\MarcelMichelson	\PierreTran
1028	The French government said on Friday it would reveal early in the New Year how it plans to sell the Thomson-CSF state defence electronics firm and that the sale would be covered by a 1986 privatisation law	29	38	\MarcelMichelson	\PierreTran
1029	"""We are not hostile to a foreign company taking control of Thomson Multimedia as it follows an industrial and economic logic,"" a spokesman for the Thomson-CSF association of employee shareholders said"	29	38	\MarcelMichelson	\PierreTran
1030	($1=5.199 French Franc)	29	38	\MarcelMichelson	\PierreTran
1031	"""You cannot go from one thing to the next overnight. Marketing is a business in its own right. Managing factories, manufacturing, people is something else,"" a French industry executive said"	42	38	\SarahDavison	\PierreTran
1032	"""The creditor banks have been very understanding; they wish us well...they see it as an incident which we will get over and which will be contained in insurance arrangements and the financial arrangements we have set up,"" Malpas said"	42	38	\SarahDavison	\PierreTran
1033	The Eurotunnel official coordinating the clearance, Dominique Dorso, said three wagons remained where the fire started, in section five of the tunnel. One was being removed Tuesday evening and the other two should be taken out next week	8	38	\EdnaFernandes	\PierreTran
1034	Richard Branson, head of the London &amp; Continental Railways (LCR) group which runs the Eurostar high-speed train concession, has forecast it will hit six million passengers in the financial year 1996/97 and 10 million in 18 months	8	38	\EdnaFernandes	\PierreTran
1035	The fire was so intense in one 30-metre stretch that no visible traces of the trucks themselves remained in the Shuttle wagons, which were themselves reduced to blackened and twisted steel lattice frames	8	38	\EdnaFernandes	\PierreTran
1036	"Pooling by rivals such as P&amp;O and Stena would lead to ""a reduction in direct competition"" for Eurotunnel, while the loss of duty-free sales, representing 250 million sterling of soft subsidies for the ferries, would push ferry firms to raise ticket prices"	8	38	\EdnaFernandes	\PierreTran
1037	News Corp, which already has a wide-ranging partnership with MCI, would strengthen its global media interests on the coat-tails of the creation of the world's second largest telecommunications group, the analysts said	21	4	\KeithWeir	\BernardHickey
1038	Murdoch also announced that News planned to float its British based digital media technology company, Digital Media Services, within the next two to three weeks and would sell 20 percent of the company	21	4	\KeithWeir	\BernardHickey
1039	But it said it remained confident it could take advantage of a recovery in world markets when it came and was currently in talks to buy a large British scrap metal business	2	4	\AlexanderSmith	\BernardHickey
1040	"""We would consider all businesses that we have today as core businesses,"" he said, adding, however, that he could not rule out future acquisitions"	2	4	\AlexanderSmith	\BernardHickey
1041	"None of the passengers or crew had been injured in the fire and the only problem on board was likely to be boredom given the ship's video players were out of action. ""With no videos, they'll be a bit bored,"" Kumkee said"	2	4	\AlexanderSmith	\BernardHickey
1042	Crabb also said Simsmetal was in talks to buy a large British business in the same area as Simsmetal, but he said he could not give any more details as he was bound by confidentiality agreements	2	4	\AlexanderSmith	\BernardHickey
1043	These more sober forecasts signify the end of two to three years of sharp profit rises for the major banks as they recovered from hefty loan losses in the early 1990s and capitalised on a strong economy	10	4	\FumikoFujisaki	\BernardHickey
1044	Their entry into the market has dragged the big banks' home loan margins down from over 300 basis points last year to just over 200 points now	10	4	\FumikoFujisaki	\BernardHickey
1045	"""The real key for us will be to try to manage our balance sheet, have more assets off balance sheets, more securitising of lower margin assets,"" he said"	10	4	\FumikoFujisaki	\BernardHickey
1046	Until now the government has had the final say on bank mergers, rather than just the anti-monopolies watchdog	14	4	\JaneMacartney	\BernardHickey
1047	Former building societies like St George Bank Ltd and Advance Bank Ltd, which are in the process of merging, were seen as similar to the credit unions	23	4	\KevinMorrison	\BernardHickey
1048	BA reported earlier this month that despite strong traffic growth and greater productivity its first half operating profits were down 2.1 per cent compared with last year	23	4	\KevinMorrison	\BernardHickey
1049	Brambles' shares were down five cents at A$18.80 at 3.40 p.m. (0540 GMT)	23	4	\KevinMorrison	\BernardHickey
1050	A smaller New South Wales-based bank, St George Bank Ltd, echoed this new more subdued outlook for profits in its annual results also announced on Tuesday	23	4	\KevinMorrison	\BernardHickey
1051	Possible takeover targets include the Australia and New Zealand Banking Group Ltd and Westpac Banking Corp.  The National Australia Bank Ltd, Australia's largest and most profitable bank, is seen as the main predator	23	4	\KevinMorrison	\BernardHickey
1052	Gold miner Niugini Mining Ltd, which owns 17.15 percent of the shares in Papua New Guinea's Lihir Gold Ltd, said on Monday it was looking at ways of giving those Lihir shares back to its shareholders	23	4	\KevinMorrison	\BernardHickey
1053	"""But the first objective to make those assets that we currently own work better, produce more profit, more cash flow.""Singapore's Camerlin Pte Ltd has about eight percent of National Foods and Hong Kong's Mingly Corp has about 10.4 percent of the company.  Reaney said he would not comment on shareholders' intentions or actions or whether either of the Asian-based investors planned any takeover or had brought on any board room reshuffle"	23	4	\KevinMorrison	\BernardHickey
1054	"""There are those that are close to this issue in government saying if New South Wales wants to deal with this matter quickly, if the racing industry wants to establish its financial arrangements sooner rather than later and the government doesn't want the costs of a public float, than a tender needs to be the preferred approach,"" he said.  AWA's share price closed down two cents at 91 cents on Wednesday"	12	4	\HeatherScoffield	\BernardHickey
1055	Niugini's assets could viewed in two parts -- the Lihir stake and other smaller mining assets, he said	12	4	\HeatherScoffield	\BernardHickey
1056	The analysts said the market, which has sometimes been critical of the big deals and the big calls on the market, would welcome the comments	46	4	\TheresePoletti	\BernardHickey
1057	Finding a user-friendly and secure way of making payments and money transfers on the internet has become something of a holy grail for programmers.  Secure payments systems are seen dramatically increasing the volume of financial transactions made on the net, which are already growing strongly	46	4	\TheresePoletti	\BernardHickey
1058	MCI Chief Executive Bert Roberts told Reuters on Sunday that no major new launches were expected from the venture with News Corp and that MCI wanted to sell a US$700 million satellite license to News	35	4	\NickLouth	\BernardHickey
1059	"""If a merger like that looks like coming off, then the price will come off,"" Lyon said"	22	4	\KevinDrawbaugh	\BernardHickey
1060	Goodman Fielder shares closed down a cent at A$1.31 on Wednesday	26	4	\LydiaZajc	\BernardHickey
1061	Stage one of the project, which was 60 percent complete and projected to cost A$700 million, was already processing 15,000 tonnes of produce a day and had parking for 25,000 vehicles	32	4	\MatthewBunce	\BernardHickey
1062	The complex would eventually include food processing facilities so produce from surrounding areas could be packaged and processed for export	32	4	\MatthewBunce	\BernardHickey
1063	Techway's shares closed up 5.5 cents at 37 cents	6	4	\DarrenSchuettler	\BernardHickey
1064	The purchase by the agency's Brunei Investment and Commercial Bank (BICB) from Lloyds' Hill Samuel &amp; Co unit makes it the largest individual shareholder in Macquarie	17	4	\JoeOrtiz	\BernardHickey
1065	The writing off of these costs, known as slotting contracts, made up A$33.9 million of the abnormal losses	30	4	\MarkBendeich	\BernardHickey
1066	The Commmonwealth Bank of Australia (CBA) warned again on Tuesday of a subdued profit outlook for the current 1996/97 year and beyond, citing a competitive housing market, falling margins and higher wage costs	30	4	\MarkBendeich	\BernardHickey
1067	They also said they expected this gap to narrow further when further official rate cuts are made next year	11	4	\GrahamEarnshaw	\BernardHickey
1068	"""Recent slotting contracts have been negotiated with improved margins, indicating that market conditions are returning to a more acceptable level,"" Clack said"	11	4	\GrahamEarnshaw	\BernardHickey
1069	They would be reduced to playing cards and their guitars until their rescue, he added	11	4	\GrahamEarnshaw	\BernardHickey
1070	"""It has partially restored its electric power, but it has no wasy to start its engine,"" Irons said"	16	4	\JoWinterbottom	\BernardHickey
1071	"""Whilst we do not normally comment on rumours and speculation regarding mergers and acquisitions the very specific nature of the article requires this definite denial,"" the ANZ said in a statement"	16	4	\JoWinterbottom	\BernardHickey
1072	Many European carriers are pushing for a concerted move to lift ticket prices by up to three per cent, but Asian and North American carriers were believed to be reluctant to do so	24	4	\KirstinRidley	\BernardHickey
1073	Marshall said the extent to which the three percent increase was applied depended on each individual carrier and how fuel prices changed through the northern hemisphere's winter	28	4	\LynnleyBrowning	\BernardHickey
1074	"""Overall we'd like to do good double digit (revenue and earnings) growth, but we can't guarantee any of that,"" he said"	5	4	\BradDorfman	\BernardHickey
1075	It has offices throughout Australasia and in China, Singapore, Malaysia, London, Munich, New York, Hong Kong, Indonesia and South Africa. Its asset base stood at A$5.17 billion on March 31, the end of its financial year	42	4	\SarahDavison	\BernardHickey
1076	"""Completion of the adjacent Thammasart University and Asian Games complexes as well as continuing infrastructure investment in the area by the Thai government is expected to further benefit the project,"" the two partners said"	42	4	\SarahDavison	\BernardHickey
1077	"""Completion of the adjacent Thammasart University and Asian Games complexes as well as continuing infrastructure investment in the area by the Thai government is expected to further benefit the project,"" the two partners said"	42	4	\SarahDavison	\BernardHickey
1078	"""QBE ought to be allowed to buy a bank if it wishes to do so but it is my own personal view and, I believe the view of the board, that we will not be doing that,"" he said"	42	4	\SarahDavison	\BernardHickey
1187	"But BSkyB's chief executive, Sam Chisholm, was quoted in later editions of Murdoch's Times newspaper saying there were ""no talks taking place between News Corp, BSkyB or any associated company about a bid for Pearson.""A BSkyB spokesman on Monday confirmed Chisholm had denied any such talks"	21	16	\KeithWeir	\JoWinterbottom
1188	The George clothing brand, exclusive to ASDA, is headed by George Davies who founded the Next chain of fashion stores	21	16	\KeithWeir	\JoWinterbottom
1189	A report in Monday's Independent newspaper said BSkyB, in which Rupert Murdoch's News Corp has a 40 percent stake, was in the early stages of planning a bid worth more than four billion pounds ($6.4 billion) in cooperation with a U.S.-based media group	21	16	\KeithWeir	\JoWinterbottom
1190	"""Increasing efficiencies mean we can be a low cost operator...which allows us to afford to reinvest in being competitive."" ($1=.5950 Pound)"	2	16	\AlexanderSmith	\JoWinterbottom
1191	"Several utility companies have said they would challenge any windfall tax plans in court, but Labour's treasury spokesman Gordon Brown described the proposal as ""legally iron tight.""On Thursday, the Institute of Directors (IoD), which represents British business interests, warned against the tax although it acknowledged that ""some of the utilities do have spare funds at the moment.""The IoD said the tax could lead to problems over who should pay what amounts and said customers might face increased prices"	2	16	\AlexanderSmith	\JoWinterbottom
1192	Cable &amp; Wireless, NYNEX Corp of the U.S. and Bell Canada International announced they would merge the operations of their British subsidiaries in a complex deal, culminating in a float of 15 percent of the new company	2	16	\AlexanderSmith	\JoWinterbottom
1193	At the same time, Labour might seek to reverse the changes on capital allowances, analysts said, as it pushes for increased investment by companies	2	16	\AlexanderSmith	\JoWinterbottom
1194	"Leighton feels the confidence in employees engendered by the management style accounts for ""a third of our success"""	2	16	\AlexanderSmith	\JoWinterbottom
1195	The changes, proposed by finance minister Kenneth Clarke in the budget on Tuesday, cut capital allowances on assets with a working life of over 25 years to six percent from 25 percent	10	16	\FumikoFujisaki	\JoWinterbottom
1196	Those funds affected by the move are likely to change investments to try to avoid any impact, analysts said	10	16	\FumikoFujisaki	\JoWinterbottom
1197	Along with several other analysts, he warns that even if Labour does win power it may not be able to effect the tax because of legal problems in ensuring it is non-discriminatory	14	16	\JaneMacartney	\JoWinterbottom
1198	"""I don't want particularly to be the biggest but what I want to be is the best,"" Leighton told Reuters in an interview"	12	16	\HeatherScoffield	\JoWinterbottom
1199	"""I am positive about Christmas, there are some good statistics on retail generally...I would hope that (consumers) would have more confidence to spend,"" chief executive Colin Smith said in an interview"	46	16	\TheresePoletti	\JoWinterbottom
1200	"""These are very good results. Hyder is also showing that synergy savings are happening more quickly than expected,"" said one analyst who asked not to be identified"	46	16	\TheresePoletti	\JoWinterbottom
1201	"""People want to work in successful businesses and the measure of our success will be in our profitability, earnings per share, and our sales performance and market share,"" he said"	35	16	\NickLouth	\JoWinterbottom
1202	Cable &amp; Wireless Communications has around 2.47 million homes in its sights through a variety of franchises throughout the country and access to 18 million business and domestic telephone customers through its Mercury unit	35	16	\NickLouth	\JoWinterbottom
1203	"""At the end of the day it will probably end up roughly equal,"" the analyst said"	35	16	\NickLouth	\JoWinterbottom
1204	"""The market does not like uncertainty -- give it a tax like this with no parameters and it will assume the worst-case scenario,"" said one analyst who asked not to be named"	35	16	\NickLouth	\JoWinterbottom
1205	"""The company has said they can grow earnings and that's the way to create shareholder value,"" the analyst said"	22	16	\KevinDrawbaugh	\JoWinterbottom
1206	Allied Domecq said exceptional losses for the year totalled 311 million pounds, the largest part of which was on the 205 mllion pound sale of its 50 percent stake in brewer Carlsberg-Tetley to Bass in August	47	16	\TimFarrand	\JoWinterbottom
1207	"But Hales stressed in the interview that there was ""a lot we can do in terms of improving performance.""The spirits and wines business could benefit from increasing marketing, improving relations with customers, taking more costs out and improving returns on capital employed, he said"	47	16	\TimFarrand	\JoWinterbottom
1208	South West Water's pretax profits for the six months ending September 30 rose to 72.9 million pounds ($120.4 million), up 35 percent and ahead of expectations which were between 57 and 68 million pounds	47	16	\TimFarrand	\JoWinterbottom
1209	British spirits, pubs and fast food group Allied Domecq on Tuesday reported a fall in annual profits but effectively ruled out a demerger as a solution to its problems	47	16	\TimFarrand	\JoWinterbottom
1210	Northern is likely to report pretax profits slightly down at around 50 million pounds from 58.7 million pounds a year ago and raise the dividend by seven percent to near 13 pence	47	16	\TimFarrand	\JoWinterbottom
1211	"Gross margins have run slightly down on a year ago in the first half and start of the second half, Safeway said, driven by ""our immediate and vigorous response to a number of significant marketing and pricing initiatives launched by our competitors.""But net margins were stable in the first half at 6.9 percent as productivity gains and efficiency improvements helped"	47	16	\TimFarrand	\JoWinterbottom
1212	British spirits, pubs and fast food outlet group Allied Domecq on Tuesday reported a fall in annual profits but effectively ruled out a demerger of its spirits business as a solution to its problems	47	16	\TimFarrand	\JoWinterbottom
1213	"ASDA needs to make ""another quantum (leap)"" in using technology, Leighton said, primarily to speed up distribution and product roll-out"	41	16	\SamuelPerry	\JoWinterbottom
1214	-- London Newsroom +44 171 5427717	15	16	\JimGilchrist	\JoWinterbottom
1215	"""We see this as a commercial venture...it is not a huge sink of money,"" he said"	11	16	\GrahamEarnshaw	\JoWinterbottom
1216	"""Investors who are wise to the market's over-caution on the proposed tax are buying. These stocks are undervalued and...some are yielding more than long-term bonds,"" said one analyst"	11	16	\GrahamEarnshaw	\JoWinterbottom
1339	Energis said in October that it was on track to announcing a link with an international carrier within a year	24	16	\KirstinRidley	\JoWinterbottom
1340	"National Power said its repositioning ""means we are well placed both to compete strongly in the UK market, and to build on our material and increasingly profitable overseas business.""The company said costs associated with paying out a one pound per share special dividend, announced with full year results in May, would total around 50 million pounds and would fall in the second half of the year"	24	16	\KirstinRidley	\JoWinterbottom
1341	The British cable market is growing fast, with around 7.5 million homes now within striking distance of connections, as around six billion pounds has already been invested in building cable networks and a further six billion is planned	24	16	\KirstinRidley	\JoWinterbottom
1342	Cable &amp; Wireless Communications, a major new British cable operator formed on Tuesday from a group led by Cable &amp; Wireless Plc, has the potential to be competitive and focuses attention on the fast-growing area, analysts said	24	16	\KirstinRidley	\JoWinterbottom
1343	"""It does not really affect the companies, just a group of investors,"" Cohen said"	28	16	\LynnleyBrowning	\JoWinterbottom
1344	"""The worries over the windfall tax are severely overdone...even if it does happen, most companies will be able to find the money, even if they do not want to,"" said Hollobone"	28	16	\LynnleyBrowning	\JoWinterbottom
1345	Utilities could be particularly vulnerable because they have large amounts of infrastructure and plant which will require future investment, analysts said	42	16	\SarahDavison	\JoWinterbottom
1346	U.S. utilities, faced with slow growth and deregulation in their local markets, have been merging in the United States and investing abroad as they seek to grow	42	16	\SarahDavison	\JoWinterbottom
1347	But the half year surge in profits was unlikely to be repeated, finance director Ken Hill told Reuters	4	16	\BernardHickey	\JoWinterbottom
1348	"But there are no specific plans for acquisitions. ""Our track record shows...we are not frightened (of making acquisitions) but it is a question of finding ones that make sense,"" Colin Drummond, head of the group's non-core division, said"	4	16	\BernardHickey	\JoWinterbottom
1349	"He said returns for Hyder on its involvement with a group which won a contract to run 122 kilometres of the busy M40 motorway between London and Warwick in central England ""will considerably exceed our cost of capital.""Hyder holds a 40 percent stake in that group, UK Highways, along with Tarmac, John Laing, France's Caisse des Depots et Consignations and Transroute International. ($1=.5940 Pound)"	8	16	\EdnaFernandes	\JoWinterbottom
1350	In Europe, News Corp's main TV interest is through its 40-percent stake in British Sky Broadcasting Plc (BSkyB), which announced sharply-increased pre-tax profits of 257 million pounds sterling (US$406 million) for the year to June 30	21	23	\KeithWeir	\KevinMorrison
1351	Murdoch has placed both his children under the tutorage of two of his loyal lieutenants, BSkyB managing director Sam Chisholm and News Ltd chairman Ken Cowley	21	23	\KeithWeir	\KevinMorrison
1352	But the 65-year-old who has transformed the industry worldwide still has a few more ambitions to achieve before he passes on the baton to his heirs and settles into retirement	14	23	\JaneMacartney	\KevinMorrison
1353	Independence Day, a film about invading aliens who launch an attack against the Earth from huge space ships, has grossed more than US$670 million worldwide, making it the third highest-grossing film in box office history	14	23	\JaneMacartney	\KevinMorrison
1475	"""It's good for Placer Dome because it gets what it really wanted, it's good for Highlands shareholders because they get more than 75 cents, they get 65 cents cash plus they have the share in the new company,"" one source close to the deal said"	12	23	\HeatherScoffield	\KevinMorrison
1476	"""I don't think he is very interested in Eastern Europe, Canada is very difficult for foreigners from what I understand. But, I think there is a chance at some stage that Africa might be in his sights,"" the analyst added"	12	23	\HeatherScoffield	\KevinMorrison
1477	"Under the existing rules it would have been impossible to acquire or invest more than 50 percent in an airline in South Africa, said Ayling. ""South Africa is a part of the world which would not be open to us if we didn't have this deal,"" he said"	12	23	\HeatherScoffield	\KevinMorrison
1478	The analyst said either Elisabeth or Lachlan would probably work in News Corp's U.S. business, before they could take over	35	23	\NickLouth	\KevinMorrison
1479	"""Sport will remain very important and we will be investing and acquiring long-term rights and becoming part of the world sports establishment,"" said Murdoch, News' chairman and chief executive"	35	23	\NickLouth	\KevinMorrison
1480	"""The market is still growing, but it's just not as fast as some people would like it,"" Harbison said"	35	23	\NickLouth	\KevinMorrison
1481	At the start of October, Elisabeth was appointed head of programming at BSkyB, which is 40-percent owned by News Corp. The British-based satellite TV operation nearly sank News Corp in debt six years ago, but has become a river of cash	35	23	\NickLouth	\KevinMorrison
1482	NAB declined to comment on Monday's announcement	35	23	\NickLouth	\KevinMorrison
1483	"""They will have to reduce their costs along with every other airline in the world and that will continue to happen for some time,"" Harbison said"	40	23	\RogerFillion	\KevinMorrison
1484	The new cable rollout rules start on July 1, 1997.  This is the same day that Australia's telecommunications industry will be liberalised, allowing overseas telephone carriers to provide local telephony services	40	23	\RogerFillion	\KevinMorrison
1485	(A$1 = US$0.7920)	26	23	\LydiaZajc	\KevinMorrison
1486	(A$1 = $0.79)	6	23	\DarrenSchuettler	\KevinMorrison
1487	(A$1 = $0.79)	6	23	\DarrenSchuettler	\KevinMorrison
1488	Instead of rolling up their shirtsleeves and getting inked up on the printing presses as Rupert did, his eldest son Lachlan and daughter Elisabeth will be dealing with the latest in digital technology and multi-channel television satellites	41	23	\SamuelPerry	\KevinMorrison
1489	Microsoft and Sun are locked in many battles across the fiercely competitive computer industry. Microsoft has annual revenues around US$8.6 billion, while Sun has revenues of US$7.00 billion a year	41	23	\SamuelPerry	\KevinMorrison
1490	Investors reacted to the weak result by slicing five percent or 33 cents off Comalco's share price. The stock closed at A$7.10 on Monday, its lowest level since August 1	30	23	\MarkBendeich	\KevinMorrison
1491	Analysts said rationalisation might continue in the sector for some time, but most of the short-term activity had occured	11	23	\GrahamEarnshaw	\KevinMorrison
1492	Analysts said that although there would be cost savings, the price was still fairly generous	16	23	\JoWinterbottom	\KevinMorrison
1493	"""We expect the next three World Cups will have a significant place on our platforms,"" said Murdoch referring to the soccer and Rugby Union world cups"	28	23	\LynnleyBrowning	\KevinMorrison
1494	"""With low levels of inflation, companies have difficulty pushing through cost increases, so they have got to look for efficencies in order to increase profitability and to do that, some companies acquire others,"" said Merv Peacock, the Australian Mutual Provident Society's head of marketable securities"	44	23	\SimonCowell	\KevinMorrison
1495	Butcher said he could not comment on its trading performance or earnings forecasts	5	23	\BradDorfman	\KevinMorrison
1496	Butcher said he could not comment on its trading performance or earnings forecasts	5	23	\BradDorfman	\KevinMorrison
1497	In June, BA signed its first franchise agreement outside of the European Union with South Africa's largest independent carrier, Comair. Under the deal Comair's eight-jet fleet will use the British Airways name and livery	29	23	\MarcelMichelson	\KevinMorrison
1498	British Airways Plc (BA) said on Tuesday that it had no plans for new alliances over the next few years, but would extend its global reach by franchising its popular brand name to smaller airlines	29	23	\MarcelMichelson	\KevinMorrison
1499	"""Once these agreements are put in place and they are being effectively managed, we will be able to see some things we are not able to see at the moment,"" he said"	42	23	\SarahDavison	\KevinMorrison
1500	A decade ago, Australia's IT&amp;T exports were negligible	27	23	\LynneO'Donnell	\KevinMorrison
1501	"As for the bad news, Bethwaite said: ""In the U.S. and in Asia there is something of a price war going on"	27	23	\LynneO'Donnell	\KevinMorrison
1502	Rupert Murdoch's global media group, The News Corp Ltd, on Tuesday reported an 8.1 percent fall in net profit for the first quarter of 1996/97, in stark contrast to analysts' forecasts of a healthy rise	4	23	\BernardHickey	\KevinMorrison
1503	While the 1995/96 second half was very strong, he said the bank was hopeful it could at least match the result	4	23	\BernardHickey	\KevinMorrison
1504	"""You would have to expect that numbers would be coming down to at least double of what the first half was,"" O'Connor said"	4	23	\BernardHickey	\KevinMorrison
1505	The sale of Adelaide lease was supposed to be part of the first phase, but was delayed for an upgrade	4	23	\BernardHickey	\KevinMorrison
1506	The first quarter profit drop follows a profit dip for News Corp in the 1995/96 year, when it reported a six-percent fall in pre-abnormals net profit to A$1.26 billion	4	23	\BernardHickey	\KevinMorrison
1507	"Black was asked by reporters after Fairfax's meeting just how much he would want to increase his stake to, if allowed. ""Fifty percent,"" he said"	4	23	\BernardHickey	\KevinMorrison
1508	The Wallis inquiry into Australia's financial system, which is looking at the possibility of a relaxation of rules that stop big bank mergers and takeovers by foreign banks, is due to hand down its recommendations in March 1997	4	23	\BernardHickey	\KevinMorrison
1509	The second Melbourne analyst said the second quarter is traditionally a stronger quarter for Fox Broadcasting and is likely to get a boost from the baseball World Series finals	4	23	\BernardHickey	\KevinMorrison
1510	EXPANSION THE NEW MURDOCH WAYSince he inherited his father Keith's newspaper stable in 1952, Murdoch built his media empire by raising large slabs of debt -- often to the annoyance of his shareholders	4	23	\BernardHickey	\KevinMorrison
1511	Pre-tax profits including investment gains dropped to 651 million pounds from 812 million pounds last year. Total premium income was down only slightly at 3.73 billion pounds	21	44	\KeithWeir	\SimonCowell
1512	The fist payment would be followed by benefits worth more than 200 million pounds as a result of flotation, which will give the group access to long-term capital, it added	2	44	\AlexanderSmith	\SimonCowell
1513	"While the exact nature of the ""mispricing errors"" is unknown at this stage, the memory of Nick Leeson's activities in the derivatives market is still fresh in many minds"	2	44	\AlexanderSmith	\SimonCowell
1514	Large said he was determined to secure redress for those missold personal pensions and welcomed any contribution which helped secure that aim	2	44	\AlexanderSmith	\SimonCowell
1515	The companies said they believed that the merger would bring significant strategic advantages allowing the development of new products, enhancing JIB's international operations and creating a leading international reinsurance business	2	44	\AlexanderSmith	\SimonCowell
1516	"""This judgement enables Lloyd's to pursue all non-acceptors of the settlement who have argued that they are not obliged to pay their Equitas premium,"" said Philip Holden, head of Lloyd's financial recovery department"	2	44	\AlexanderSmith	\SimonCowell
1517	Derivatives markets have been involved in a string of large losses for companies around the world	2	44	\AlexanderSmith	\SimonCowell
1518	AMP has not yet given any indication of what it might be prepared to pay for ScotAm, but is financially strong has said it was keen to make acquisitions in both the British and U.S. market	2	44	\AlexanderSmith	\SimonCowell
1519	"""Four-to-one MAPAs solvency will change,"" Stace said, adding that his personal opinion was that three-to-one for Names was probably appropriate"	2	44	\AlexanderSmith	\SimonCowell
1520	"SIB chairman, Sir Andrew Large, said that progress had hitherto been ""unacceptably slow"" but welcomed signs of increased commitments to a rapid resolution emerging from meetings with major firms"	2	44	\AlexanderSmith	\SimonCowell
1521	There will be some facility closures and further staff losses to come, said Morley, but he declined to put an overall figure on the number of likely layoffs	2	44	\AlexanderSmith	\SimonCowell
1522	"Only yesterday Donald Gordon, a leading figure in the financial services industry and chairman of Liberty International attacked the payment of large bonuses by investment banks as a ""massive over-incentivisation of personnel"""	2	44	\AlexanderSmith	\SimonCowell
1523	Pensions and property group Liberty International Holdings  said on Thursday it might go on the acquisition trail to develop its financial services interests	2	44	\AlexanderSmith	\SimonCowell
1524	The trebling of the value of new business, was singled out as particularly positive	2	44	\AlexanderSmith	\SimonCowell
1525	The head of one of Lloyd's of London's largest corporate investors said on Wednesday he expected the number of traditional Names at Lloyd's of London to continue to fall to a core of between 4,000 and 5,000	2	44	\AlexanderSmith	\SimonCowell
1526	"""We see Jardine fulfilling an essential demand from clients by being a strong international broker focussed on handling business wherever it is in the world outside the U.S. rather than looking to get a flag in every city in the world,"" said Carter"	2	44	\AlexanderSmith	\SimonCowell
1527	"""There is a gaming provision as well whereby we're looking at doing some gaming projects together,"" said George"	23	44	\KevinMorrison	\SimonCowell
1528	"""The purest plays are the exploration and production companies - Enterprise, Lasmo and Saga. You pick a pure play if you believe the delay will last into 1997,"" said Anderson"	12	44	\HeatherScoffield	\SimonCowell
